y,x,iterations,success_rate,avg_iterations,max_iterations,log2_y,sqrt_y
11,3,1,0.85,2.29,4,3.459,3.317
11,6,1,0.85,2.29,4,3.459,3.317
11,7,2,0.85,2.29,4,3.459,3.317
11,7,2,0.85,2.29,4,3.459,3.317
11,10,4,0.85,2.29,4,3.459,3.317
11,7,2,0.85,2.29,4,3.459,3.317
11,6,1,0.85,2.29,4,3.459,3.317
11,8,3,0.85,2.29,4,3.459,3.317
11,5,2,0.85,2.29,4,3.459,3.317
11,8,3,0.85,2.29,4,3.459,3.317
11,8,3,0.85,2.29,4,3.459,3.317
11,5,2,0.85,2.29,4,3.459,3.317
11,5,2,0.85,2.29,4,3.459,3.317
11,5,2,0.85,2.29,4,3.459,3.317
11,10,4,0.85,2.29,4,3.459,3.317
11,9,3,0.85,2.29,4,3.459,3.317
11,5,2,0.85,2.29,4,3.459,3.317
13,4,3,0.95,2.53,5,3.700,3.606
13,7,1,0.95,2.53,5,3.700,3.606
13,9,3,0.95,2.53,5,3.700,3.606
13,9,3,0.95,2.53,5,3.700,3.606
13,3,2,0.95,2.53,5,3.700,3.606
13,2,1,0.95,2.53,5,3.700,3.606
13,9,3,0.95,2.53,5,3.700,3.606
13,2,1,0.95,2.53,5,3.700,3.606
13,12,5,0.95,2.53,5,3.700,3.606
13,9,3,0.95,2.53,5,3.700,3.606
13,4,3,0.95,2.53,5,3.700,3.606
13,12,5,0.95,2.53,5,3.700,3.606
13,2,1,0.95,2.53,5,3.700,3.606
13,11,4,0.95,2.53,5,3.700,3.606
13,9,3,0.95,2.53,5,3.700,3.606
13,7,1,0.95,2.53,5,3.700,3.606
13,6,3,0.95,2.53,5,3.700,3.606
13,10,2,0.95,2.53,5,3.700,3.606
13,7,1,0.95,2.53,5,3.700,3.606
14,3,1,0.05,1.00,1,3.807,3.742
15,8,1,0.15,1.00,1,3.907,3.873
15,2,1,0.15,1.00,1,3.907,3.873
15,8,1,0.15,1.00,1,3.907,3.873
17,11,3,0.95,2.47,4,4.087,4.123
17,12,4,0.95,2.47,4,4.087,4.123
17,15,3,0.95,2.47,4,4.087,4.123
17,3,1,0.95,2.47,4,4.087,4.123
17,7,3,0.95,2.47,4,4.087,4.123
17,6,1,0.95,2.47,4,4.087,4.123
17,15,3,0.95,2.47,4,4.087,4.123
17,6,1,0.95,2.47,4,4.087,4.123
17,5,2,0.95,2.47,4,4.087,4.123
17,16,4,0.95,2.47,4,4.087,4.123
17,5,2,0.95,2.47,4,4.087,4.123
17,16,4,0.95,2.47,4,4.087,4.123
17,7,3,0.95,2.47,4,4.087,4.123
17,10,2,0.95,2.47,4,4.087,4.123
17,5,2,0.95,2.47,4,4.087,4.123
17,10,2,0.95,2.47,4,4.087,4.123
17,8,4,0.95,2.47,4,4.087,4.123
17,10,2,0.95,2.47,4,4.087,4.123
17,6,1,0.95,2.47,4,4.087,4.123
19,3,2,1,2.15,5,4.248,4.359
19,4,1,1,2.15,5,4.248,4.359
19,3,2,1,2.15,5,4.248,4.359
19,4,1,1,2.15,5,4.248,4.359
19,9,3,1,2.15,5,4.248,4.359
19,11,3,1,2.15,5,4.248,4.359
19,12,2,1,2.15,5,4.248,4.359
19,8,2,1,2.15,5,4.248,4.359
19,12,2,1,2.15,5,4.248,4.359
19,2,1,1,2.15,5,4.248,4.359
19,5,1,1,2.15,5,4.248,4.359
19,14,4,1,2.15,5,4.248,4.359
19,12,2,1,2.15,5,4.248,4.359
19,6,2,1,2.15,5,4.248,4.359
19,10,1,1,2.15,5,4.248,4.359
19,10,1,1,2.15,5,4.248,4.359
19,12,2,1,2.15,5,4.248,4.359
19,3,2,1,2.15,5,4.248,4.359
19,17,5,1,2.15,5,4.248,4.359
19,14,4,1,2.15,5,4.248,4.359
20,9,2,0.15,1.33,2,4.322,4.472
20,7,1,0.15,1.33,2,4.322,4.472
20,3,1,0.15,1.33,2,4.322,4.472
21,11,1,0.25,1.20,2,4.392,4.583
21,16,2,0.25,1.20,2,4.392,4.583
21,2,1,0.25,1.20,2,4.392,4.583
21,11,1,0.25,1.20,2,4.392,4.583
21,2,1,0.25,1.20,2,4.392,4.583
23,14,3,0.95,2.42,7,4.524,4.796
23,6,1,0.95,2.42,7,4.524,4.796
23,18,3,0.95,2.42,7,4.524,4.796
23,4,1,0.95,2.42,7,4.524,4.796
23,10,4,0.95,2.42,7,4.524,4.796
23,12,1,0.95,2.42,7,4.524,4.796
23,20,7,0.95,2.42,7,4.524,4.796
23,2,1,0.95,2.42,7,4.524,4.796
23,18,3,0.95,2.42,7,4.524,4.796
23,2,1,0.95,2.42,7,4.524,4.796
23,12,1,0.95,2.42,7,4.524,4.796
23,12,1,0.95,2.42,7,4.524,4.796
23,3,1,0.95,2.42,7,4.524,4.796
23,17,6,0.95,2.42,7,4.524,4.796
23,8,1,0.95,2.42,7,4.524,4.796
23,2,1,0.95,2.42,7,4.524,4.796
23,15,4,0.95,2.42,7,4.524,4.796
23,12,1,0.95,2.42,7,4.524,4.796
23,19,5,0.95,2.42,7,4.524,4.796
25,8,4,0.65,3.31,5,4.644,5.000
25,14,3,0.65,3.31,5,4.644,5.000
