x,y,steps,success
1,2,1,1
3,2,1,1
5,2,1,1
1,3,1,1
2,3,1,1
4,3,1,1
1,4,1,1
3,4,2,0
5,4,1,1
1,5,1,1
2,5,1,1
3,5,1,1
1,6,1,1
5,6,3,0
7,6,1,1
1,7,1,1
2,7,1,1
3,7,2,1
1,8,1,1
3,8,1,1
5,8,2,0
1,9,1,1
2,9,1,1
4,9,2,0
1,10,1,1
3,10,2,0
7,10,3,0
1,11,1,1
2,11,1,1
3,11,1,1
1,12,1,1
5,12,2,0
7,12,2,0
1,13,1,1
2,13,1,1
3,13,2,1
1,14,1,1
3,14,1,1
5,14,1,1
1,15,1,1
2,15,1,1
4,15,1,1
1,16,1,1
3,16,2,0
5,16,2,0
1,17,1,1
2,17,1,1
3,17,1,1
1,18,1,1
5,18,2,0
7,18,2,0
1,19,1,1
2,19,1,1
3,19,2,1
1,20,1,1
3,20,1,1
7,20,1,1
1,21,1,1
2,21,1,1
4,21,2,0
1,22,1,1
3,22,2,0
5,22,3,0
1,23,1,1
2,23,1,1
3,23,1,1
1,24,1,1
5,24,1,1
7,24,2,0
1,25,1,1
2,25,1,1
3,25,2,1
1,26,1,1
3,26,1,1
5,26,3,0
1,27,1,1
2,27,1,1
4,27,1,1
1,28,1,1
3,28,2,0
5,28,2,0
1,29,1,1
2,29,1,1
3,29,1,1
1,30,1,1
7,30,2,0
11,30,2,0
1,31,1,1
2,31,1,1
3,31,2,1
1,32,1,1
3,32,1,1
5,32,2,1
1,33,1,1
2,33,1,1
4,33,2,0
1,34,1,1
3,34,2,0
5,34,1,1
1,35,1,1
2,35,1,1
3,35,1,1
1,36,1,1
5,36,2,0
7,36,2,0
1,37,1,1
2,37,1,1
3,37,2,1
1,38,1,1
3,38,1,1
5,38,2,0
1,39,1,1
2,39,1,1
4,39,1,1
1,40,1,1
3,40,2,0
7,40,2,0
1,41,1,1
2,41,1,1
3,41,1,1
1,42,1,1
5,42,2,0
11,42,2,0
1,43,1,1
2,43,1,1
3,43,2,1
1,44,1,1
3,44,1,1
5,44,1,1
1,45,1,1
2,45,1,1
4,45,2,0
1,46,1,1
3,46,2,0
5,46,3,0
1,47,1,1
2,47,1,1
3,47,1,1
1,48,1,1
5,48,2,0
7,48,1,1
1,49,1,1
2,49,1,1
3,49,2,1
1,50,1,1
3,50,1,1
7,50,4,0
