x,y,orig_success,fix_success,human_success,fix_steps,human_steps
1,2,1,1,1,1,1
3,2,1,1,1,1,1
5,2,1,1,1,1,1
7,2,1,1,1,1,1
9,2,1,1,1,1,1
1,3,1,1,1,1,1
2,3,1,1,1,1,2
4,3,1,1,1,1,1
5,3,1,1,1,1,2
7,3,1,1,1,1,1
1,4,1,1,1,1,1
3,4,0,0,1,2,2
5,4,1,1,1,1,1
7,4,0,0,1,2,2
9,4,1,1,1,1,1
1,5,1,1,1,1,1
2,5,1,1,1,1,2
3,5,1,1,1,1,2
4,5,1,1,1,2,3
6,5,1,1,1,1,1
1,6,1,1,1,1,1
5,6,0,0,1,3,2
7,6,1,1,1,1,1
11,6,0,0,1,3,2
13,6,1,1,1,1,1
1,7,1,1,1,1,1
2,7,1,1,1,1,2
3,7,1,1,1,2,3
4,7,1,1,1,1,2
5,7,1,1,1,3,4
1,8,1,1,1,1,1
3,8,1,1,1,1,2
5,8,0,0,1,2,2
7,8,0,0,1,3,3
9,8,1,1,1,1,1
1,9,1,1,1,1,1
2,9,1,1,1,1,2
4,9,0,0,1,2,3
5,9,1,1,1,1,2
7,9,1,1,1,2,3
1,10,1,1,1,1,1
3,10,0,0,1,2,2
7,10,0,0,1,3,2
9,10,0,0,1,4,3
11,10,1,1,1,1,1
1,11,1,1,1,1,1
2,11,1,1,1,1,2
3,11,1,1,1,1,2
4,11,1,1,1,1,2
5,11,1,1,1,2,3
1,12,1,1,1,1,1
5,12,0,0,1,2,2
7,12,0,0,1,2,
11,12,0,0,1,4,
13,12,1,1,1,1,1
1,13,1,1,1,1,1
2,13,1,1,1,1,2
3,13,1,1,1,2,3
4,13,1,1,1,3,4
5,13,1,1,1,2,3
1,14,1,1,1,1,1
3,14,1,1,1,1,2
5,14,1,1,1,1,2
9,14,0,0,1,3,3
11,14,0,0,1,3,3
1,15,1,1,1,1,1
2,15,1,1,1,1,2
4,15,1,1,1,1,2
7,15,0,0,1,3,
8,15,1,1,1,1,2
1,16,1,1,1,1,1
3,16,0,0,1,2,
5,16,0,0,1,2,
7,16,0,0,1,3,
9,16,0,0,1,2,
1,17,1,1,1,1,1
2,17,1,1,1,1,2
3,17,1,1,1,1,2
4,17,1,1,1,2,3
5,17,1,1,1,2,3
1,18,1,1,1,1,1
5,18,0,0,1,2,
7,18,0,0,1,2,
11,18,0,0,1,3,2
13,18,0,0,1,3,3
1,19,1,1,1,1,1
2,19,1,1,1,1,2
3,19,1,1,1,2,3
4,19,1,1,1,1,2
5,19,1,1,1,1,2
1,20,1,1,1,1,1
3,20,1,1,1,1,2
7,20,1,1,1,1,2
9,20,1,1,1,2,3
11,20,0,0,1,2,
1,21,1,1,1,1,1
2,21,1,1,1,1,2
4,21,0,0,1,2,
5,21,0,0,1,3,
8,21,0,0,1,2,
1,22,1,1,1,1,1
3,22,0,0,1,2,
5,22,0,0,1,3,
7,22,0,0,1,3,
9,22,0,0,1,4,2
1,23,1,1,1,1,1
2,23,1,1,1,1,2
3,23,1,1,1,1,2
4,23,1,1,1,1,2
5,23,1,1,1,2,3
1,24,1,1,1,1,1
5,24,1,1,1,1,2
7,24,0,0,1,2,2
11,24,0,0,1,3,3
13,24,0,0,1,2,
1,25,1,1,1,1,1
2,25,1,1,1,1,2
3,25,1,1,1,2,3
4,25,1,1,1,3,4
6,25,0,0,1,2,
1,26,1,1,1,1,1
3,26,1,1,1,1,2
5,26,0,0,1,3,
7,26,0,0,1,2,
9,26,1,1,1,1,2
1,27,1,1,1,1,1
2,27,1,1,1,1,2
4,27,1,1,1,1,2
5,27,0,0,1,2,
7,27,1,1,1,1,2
1,28,1,1,1,1,1
3,28,0,0,1,2,
5,28,0,0,1,2,
9,28,0,0,1,3,
11,28,0,0,1,3,
1,29,1,1,1,1,1
2,29,1,1,1,1,2
3,29,1,1,1,1,2
4,29,1,1,1,2,3
5,29,1,1,1,1,2
1,30,1,1,1,1,1
7,30,0,0,1,2,
11,30,0,0,1,2,
13,30,0,0,1,3,
17,30,0,0,1,3,
1,31,1,1,1,1,1
2,31,1,1,1,1,2
3,31,1,1,1,2,3
4,31,1,1,1,1,2
5,31,1,1,1,2,3
1,32,1,1,1,1,1
3,32,1,1,1,1,2
5,32,1,1,1,2,3
7,32,1,1,1,2,3
9,32,0,0,1,2,
1,33,1,1,1,1,1
2,33,1,1,1,1,2
4,33,0,0,1,2,
5,33,1,1,1,2,3
7,33,1,1,1,2,3
1,34,1,1,1,1,1
3,34,0,0,1,2,
5,34,1,1,1,1,2
7,34,1,1,1,1,2
9,34,0,0,1,2,
1,35,1,1,1,1,1
2,35,1,1,1,1,2
3,35,1,1,1,1,2
4,35,1,1,1,1,2
6,35,1,1,1,1,2
1,36,1,1,1,1,1
5,36,0,0,1,2,
7,36,0,0,1,2,
11,36,0,0,1,3,
13,36,0,0,1,2,
1,37,1,1,1,1,1
2,37,1,1,1,1,2
3,37,1,1,1,2,3
4,37,1,1,1,3,4
5,37,1,1,1,3,4
1,38,1,1,1,1,1
3,38,1,1,1,1,2
5,38,0,0,1,2,
7,38,0,0,1,3,
9,38,0,0,1,4,
1,39,1,1,1,1,1
2,39,1,1,1,1,2
4,39,1,1,1,1,2
5,39,1,1,1,1,2
7,39,0,0,1,2,
1,40,1,1,1,1,1
3,40,0,0,1,2,
7,40,0,0,1,2,
9,40,0,0,1,2,
11,40,0,0,1,2,
1,41,1,1,1,1,1
2,41,1,1,1,1,2
3,41,1,1,1,1,2
4,41,1,1,1,2,3
5,41,1,1,1,3,4
1,42,1,1,1,1,1
5,42,0,0,1,2,
11,42,0,0,1,2,
13,42,0,0,1,4,
17,42,0,0,1,3,2
1,43,1,1,1,1,1
2,43,1,1,1,1,2
3,43,1,1,1,2,3
4,43,1,1,1,1,2
5,43,1,1,1,2,3
1,44,1,1,1,1,1
3,44,1,1,1,1,2
5,44,1,1,1,1,2
7,44,1,1,1,2,3
9,44,1,1,1,1,2
1,45,1,1,1,1,1
2,45,1,1,1,1,2
4,45,0,0,1,2,
7,45,0,0,1,3,
8,45,0,0,1,2,
1,46,1,1,1,1,1
3,46,0,0,1,2,
5,46,0,0,1,3,
7,46,0,0,1,3,
9,46,0,0,1,3,
1,47,1,1,1,1,1
2,47,1,1,1,1,2
3,47,1,1,1,1,2
4,47,1,1,1,1,2
5,47,1,1,1,2,3
1,48,1,1,1,1,1
5,48,0,0,1,2,
7,48,1,1,1,1,2
11,48,1,1,1,2,3
13,48,0,0,1,2,
1,49,1,1,1,1,1
2,49,1,1,1,1,2
3,49,1,1,1,2,3
4,49,1,1,1,3,4
5,49,1,1,1,1,2
1,50,1,1,1,1,1
3,50,1,1,1,1,2
7,50,0,0,1,4,
9,50,0,0,1,3,
11,50,0,0,1,2,
1,51,1,1,1,1,1
2,51,1,1,1,1,2
4,51,1,1,1,1,2
5,51,1,1,1,2,3
7,51,1,1,1,3,4
1,52,1,1,1,1,1
3,52,0,0,1,2,
5,52,0,0,1,3,
7,52,0,0,1,2,
9,52,0,0,1,2,
1,53,1,1,1,1,1
2,53,1,1,1,1,2
3,53,1,1,1,1,2
4,53,1,1,1,2,3
5,53,1,1,1,2,3
1,54,1,1,1,1,1
5,54,1,1,1,1,2
7,54,0,0,1,2,
11,54,1,1,1,1,2
13,54,1,1,1,2,3
1,55,1,1,1,1,1
2,55,1,1,1,1,2
3,55,1,1,1,2,3
4,55,1,1,1,1,2
6,55,0,0,1,2,
1,56,1,1,1,1,1
3,56,1,1,1,1,2
5,56,0,0,1,2,
9,56,0,0,1,2,
11,56,0,0,1,3,
1,57,1,1,1,1,1
2,57,1,1,1,1,2
4,57,0,0,1,2,
5,57,0,0,1,2,
7,57,0,0,1,3,
1,58,1,1,1,1,1
3,58,0,0,1,2,
5,58,0,0,1,2,
7,58,0,0,1,3,
9,58,0,0,1,3,
1,59,1,1,1,1,1
