x,y,steps,success
1,2,1,1
3,2,1,1
5,2,1,1
7,2,1,1
9,2,1,1
1,3,1,1
2,3,1,1
4,3,1,1
5,3,1,1
7,3,1,1
1,4,1,1
3,4,2,0
5,4,1,1
7,4,2,0
9,4,1,1
1,5,1,1
2,5,1,1
3,5,1,1
4,5,2,1
6,5,1,1
1,6,1,1
5,6,3,0
7,6,1,1
11,6,3,0
13,6,1,1
1,7,1,1
2,7,1,1
3,7,2,1
4,7,1,1
5,7,3,1
1,8,1,1
3,8,1,1
5,8,2,0
7,8,3,0
9,8,1,1
1,9,1,1
2,9,1,1
4,9,2,0
5,9,1,1
7,9,2,1
1,10,1,1
3,10,2,0
7,10,3,0
9,10,4,0
11,10,1,1
1,11,1,1
2,11,1,1
3,11,1,1
4,11,1,1
5,11,2,1
1,12,1,1
5,12,2,0
7,12,2,0
11,12,4,0
13,12,1,1
1,13,1,1
2,13,1,1
3,13,2,1
4,13,3,1
5,13,2,1
1,14,1,1
3,14,1,1
5,14,1,1
9,14,3,0
11,14,3,0
1,15,1,1
2,15,1,1
4,15,1,1
7,15,3,0
8,15,1,1
1,16,1,1
3,16,2,0
5,16,2,0
7,16,3,0
9,16,2,0
1,17,1,1
2,17,1,1
3,17,1,1
4,17,2,1
5,17,2,1
1,18,1,1
5,18,2,0
7,18,2,0
11,18,3,0
13,18,3,0
1,19,1,1
2,19,1,1
3,19,2,1
4,19,1,1
5,19,1,1
1,20,1,1
3,20,1,1
7,20,1,1
9,20,2,1
11,20,2,0
1,21,1,1
2,21,1,1
4,21,2,0
5,21,3,0
8,21,2,0
1,22,1,1
3,22,2,0
5,22,3,0
7,22,3,0
9,22,4,0
1,23,1,1
2,23,1,1
3,23,1,1
4,23,1,1
5,23,2,1
1,24,1,1
5,24,1,1
7,24,2,0
11,24,3,0
13,24,2,0
1,25,1,1
2,25,1,1
3,25,2,1
4,25,3,1
6,25,2,0
1,26,1,1
3,26,1,1
5,26,3,0
7,26,2,0
9,26,1,1
1,27,1,1
2,27,1,1
4,27,1,1
5,27,2,0
7,27,1,1
1,28,1,1
3,28,2,0
5,28,2,0
9,28,3,0
11,28,3,0
1,29,1,1
2,29,1,1
3,29,1,1
4,29,2,1
5,29,1,1
1,30,1,1
7,30,2,0
11,30,2,0
13,30,3,0
17,30,3,0
1,31,1,1
2,31,1,1
3,31,2,1
4,31,1,1
5,31,2,1
1,32,1,1
3,32,1,1
5,32,2,1
7,32,2,1
9,32,2,0
1,33,1,1
2,33,1,1
4,33,2,0
5,33,2,1
7,33,2,1
1,34,1,1
3,34,2,0
5,34,1,1
7,34,1,1
9,34,2,0
1,35,1,1
2,35,1,1
3,35,1,1
4,35,1,1
6,35,1,1
1,36,1,1
5,36,2,0
7,36,2,0
11,36,3,0
13,36,2,0
1,37,1,1
2,37,1,1
3,37,2,1
4,37,3,1
5,37,3,1
1,38,1,1
3,38,1,1
