y,x,iterations,success_rate,avg_iterations,max_iterations,log2_y,sqrt_y
11,8,3,0.85,2.24,4,3.459,3.317
11,7,2,0.85,2.24,4,3.459,3.317
11,7,2,0.85,2.24,4,3.459,3.317
11,7,2,0.85,2.24,4,3.459,3.317
11,7,2,0.85,2.24,4,3.459,3.317
11,2,1,0.85,2.24,4,3.459,3.317
11,9,3,0.85,2.24,4,3.459,3.317
11,10,4,0.85,2.24,4,3.459,3.317
11,8,3,0.85,2.24,4,3.459,3.317
11,7,2,0.85,2.24,4,3.459,3.317
11,3,1,0.85,2.24,4,3.459,3.317
11,9,3,0.85,2.24,4,3.459,3.317
11,7,2,0.85,2.24,4,3.459,3.317
11,3,1,0.85,2.24,4,3.459,3.317
11,8,3,0.85,2.24,4,3.459,3.317
11,9,3,0.85,2.24,4,3.459,3.317
11,3,1,0.85,2.24,4,3.459,3.317
13,2,1,0.9,2.94,5,3.700,3.606
13,12,5,0.9,2.94,5,3.700,3.606
13,8,3,0.9,2.94,5,3.700,3.606
13,3,2,0.9,2.94,5,3.700,3.606
13,12,5,0.9,2.94,5,3.700,3.606
13,4,3,0.9,2.94,5,3.700,3.606
13,11,4,0.9,2.94,5,3.700,3.606
13,4,3,0.9,2.94,5,3.700,3.606
13,12,5,0.9,2.94,5,3.700,3.606
13,8,3,0.9,2.94,5,3.700,3.606
13,5,2,0.9,2.94,5,3.700,3.606
13,6,3,0.9,2.94,5,3.700,3.606
13,5,2,0.9,2.94,5,3.700,3.606
13,11,4,0.9,2.94,5,3.700,3.606
13,2,1,0.9,2.94,5,3.700,3.606
13,10,2,0.9,2.94,5,3.700,3.606
13,5,2,0.9,2.94,5,3.700,3.606
13,8,3,0.9,2.94,5,3.700,3.606
14,3,1,0.15,1.00,1,3.807,3.742
14,5,1,0.15,1.00,1,3.807,3.742
14,5,1,0.15,1.00,1,3.807,3.742
15,2,1,0.2,1.00,1,3.907,3.873
15,4,1,0.2,1.00,1,3.907,3.873
15,4,1,0.2,1.00,1,3.907,3.873
15,8,1,0.2,1.00,1,3.907,3.873
17,12,4,0.9,2.11,4,4.087,4.123
17,2,1,0.9,2.11,4,4.087,4.123
17,4,2,0.9,2.11,4,4.087,4.123
17,4,2,0.9,2.11,4,4.087,4.123
17,14,4,0.9,2.11,4,4.087,4.123
17,2,1,0.9,2.11,4,4.087,4.123
17,2,1,0.9,2.11,4,4.087,4.123
17,9,1,0.9,2.11,4,4.087,4.123
17,11,3,0.9,2.11,4,4.087,4.123
17,12,4,0.9,2.11,4,4.087,4.123
17,4,2,0.9,2.11,4,4.087,4.123
17,3,1,0.9,2.11,4,4.087,4.123
17,15,3,0.9,2.11,4,4.087,4.123
17,8,4,0.9,2.11,4,4.087,4.123
17,2,1,0.9,2.11,4,4.087,4.123
17,6,1,0.9,2.11,4,4.087,4.123
17,3,1,0.9,2.11,4,4.087,4.123
17,10,2,0.9,2.11,4,4.087,4.123
19,14,4,1,2.55,6,4.248,4.359
19,9,3,1,2.55,6,4.248,4.359
19,17,5,1,2.55,6,4.248,4.359
19,7,2,1,2.55,6,4.248,4.359
19,2,1,1,2.55,6,4.248,4.359
19,16,4,1,2.55,6,4.248,4.359
19,18,6,1,2.55,6,4.248,4.359
19,10,1,1,2.55,6,4.248,4.359
19,5,1,1,2.55,6,4.248,4.359
19,12,2,1,2.55,6,4.248,4.359
19,13,3,1,2.55,6,4.248,4.359
19,6,2,1,2.55,6,4.248,4.359
19,7,2,1,2.55,6,4.248,4.359
19,14,4,1,2.55,6,4.248,4.359
19,3,2,1,2.55,6,4.248,4.359
19,5,1,1,2.55,6,4.248,4.359
19,3,2,1,2.55,6,4.248,4.359
19,4,1,1,2.55,6,4.248,4.359
19,7,2,1,2.55,6,4.248,4.359
19,9,3,1,2.55,6,4.248,4.359
20,3,1,0.1,1.50,2,4.322,4.472
20,9,2,0.1,1.50,2,4.322,4.472
21,2,1,0.05,1.00,1,4.392,4.583
23,15,4,0.95,3.16,7,4.524,4.796
23,15,4,0.95,3.16,7,4.524,4.796
23,3,1,0.95,3.16,7,4.524,4.796
23,4,1,0.95,3.16,7,4.524,4.796
23,20,7,0.95,3.16,7,4.524,4.796
23,6,1,0.95,3.16,7,4.524,4.796
23,14,3,0.95,3.16,7,4.524,4.796
23,18,3,0.95,3.16,7,4.524,4.796
23,3,1,0.95,3.16,7,4.524,4.796
23,7,3,0.95,3.16,7,4.524,4.796
23,10,4,0.95,3.16,7,4.524,4.796
23,11,5,0.95,3.16,7,4.524,4.796
23,7,3,0.95,3.16,7,4.524,4.796
23,18,3,0.95,3.16,7,4.524,4.796
23,15,4,0.95,3.16,7,4.524,4.796
23,15,4,0.95,3.16,7,4.524,4.796
23,14,3,0.95,3.16,7,4.524,4.796
23,7,3,0.95,3.16,7,4.524,4.796
23,7,3,0.95,3.16,7,4.524,4.796
24,5,1,0.1,1.00,1,4.585,4.899
24,5,1,0.1,1.00,1,4.585,4.899
25,9,2,0.7,3.50,6,4.644,5.000
25,18,6,0.7,3.50,6,4.644,5.000
25,7,3,0.7,3.50,6,4.644,5.000
