y,x,iterations,success_rate,avg_iterations,max_iterations,log2_y,sqrt_y
11,8,3,0.95,2.21,4,3.459,3.317
11,3,1,0.95,2.21,4,3.459,3.317
11,6,1,0.95,2.21,4,3.459,3.317
11,9,3,0.95,2.21,4,3.459,3.317
11,9,3,0.95,2.21,4,3.459,3.317
11,5,2,0.95,2.21,4,3.459,3.317
11,7,2,0.95,2.21,4,3.459,3.317
11,4,1,0.95,2.21,4,3.459,3.317
11,9,3,0.95,2.21,4,3.459,3.317
11,8,3,0.95,2.21,4,3.459,3.317
11,9,3,0.95,2.21,4,3.459,3.317
11,3,1,0.95,2.21,4,3.459,3.317
11,7,2,0.95,2.21,4,3.459,3.317
11,8,3,0.95,2.21,4,3.459,3.317
11,10,4,0.95,2.21,4,3.459,3.317
11,3,1,0.95,2.21,4,3.459,3.317
11,6,1,0.95,2.21,4,3.459,3.317
11,10,4,0.95,2.21,4,3.459,3.317
11,3,1,0.95,2.21,4,3.459,3.317
13,12,5,0.8,2.69,5,3.700,3.606
13,9,3,0.8,2.69,5,3.700,3.606
13,7,1,0.8,2.69,5,3.700,3.606
13,6,3,0.8,2.69,5,3.700,3.606
13,5,2,0.8,2.69,5,3.700,3.606
13,6,3,0.8,2.69,5,3.700,3.606
13,9,3,0.8,2.69,5,3.700,3.606
13,5,2,0.8,2.69,5,3.700,3.606
13,2,1,0.8,2.69,5,3.700,3.606
13,8,3,0.8,2.69,5,3.700,3.606
13,10,2,0.8,2.69,5,3.700,3.606
13,12,5,0.8,2.69,5,3.700,3.606
13,8,3,0.8,2.69,5,3.700,3.606
13,9,3,0.8,2.69,5,3.700,3.606
13,10,2,0.8,2.69,5,3.700,3.606
13,10,2,0.8,2.69,5,3.700,3.606
14,3,1,0.05,1.00,1,3.807,3.742
15,8,1,0.25,1.00,1,3.907,3.873
15,8,1,0.25,1.00,1,3.907,3.873
15,4,1,0.25,1.00,1,3.907,3.873
15,8,1,0.25,1.00,1,3.907,3.873
15,2,1,0.25,1.00,1,3.907,3.873
17,5,2,1,2.15,4,4.087,4.123
17,6,1,1,2.15,4,4.087,4.123
17,3,1,1,2.15,4,4.087,4.123
17,6,1,1,2.15,4,4.087,4.123
17,2,1,1,2.15,4,4.087,4.123
17,10,2,1,2.15,4,4.087,4.123
17,9,1,1,2.15,4,4.087,4.123
17,11,3,1,2.15,4,4.087,4.123
17,4,2,1,2.15,4,4.087,4.123
17,8,4,1,2.15,4,4.087,4.123
17,15,3,1,2.15,4,4.087,4.123
17,8,4,1,2.15,4,4.087,4.123
17,5,2,1,2.15,4,4.087,4.123
17,6,1,1,2.15,4,4.087,4.123
17,8,4,1,2.15,4,4.087,4.123
17,4,2,1,2.15,4,4.087,4.123
17,3,1,1,2.15,4,4.087,4.123
17,16,4,1,2.15,4,4.087,4.123
17,11,3,1,2.15,4,4.087,4.123
17,2,1,1,2.15,4,4.087,4.123
19,11,3,1,2.65,4,4.248,4.359
19,3,2,1,2.65,4,4.248,4.359
19,4,1,1,2.65,4,4.248,4.359
19,8,2,1,2.65,4,4.248,4.359
19,4,1,1,2.65,4,4.248,4.359
19,16,4,1,2.65,4,4.248,4.359
19,16,4,1,2.65,4,4.248,4.359
19,3,2,1,2.65,4,4.248,4.359
19,16,4,1,2.65,4,4.248,4.359
19,16,4,1,2.65,4,4.248,4.359
19,11,3,1,2.65,4,4.248,4.359
19,11,3,1,2.65,4,4.248,4.359
19,10,1,1,2.65,4,4.248,4.359
19,8,2,1,2.65,4,4.248,4.359
19,9,3,1,2.65,4,4.248,4.359
19,8,2,1,2.65,4,4.248,4.359
19,8,2,1,2.65,4,4.248,4.359
19,15,4,1,2.65,4,4.248,4.359
19,11,3,1,2.65,4,4.248,4.359
19,9,3,1,2.65,4,4.248,4.359
20,7,1,0.25,1.20,2,4.322,4.472
20,9,2,0.25,1.20,2,4.322,4.472
20,3,1,0.25,1.20,2,4.322,4.472
20,3,1,0.25,1.20,2,4.322,4.472
20,7,1,0.25,1.20,2,4.322,4.472
21,2,1,0.2,1.00,1,4.392,4.583
21,11,1,0.2,1.00,1,4.392,4.583
21,2,1,0.2,1.00,1,4.392,4.583
21,2,1,0.2,1.00,1,4.392,4.583
23,5,2,0.95,2.95,7,4.524,4.796
23,6,1,0.95,2.95,7,4.524,4.796
23,22,7,0.95,2.95,7,4.524,4.796
23,11,5,0.95,2.95,7,4.524,4.796
23,4,1,0.95,2.95,7,4.524,4.796
23,4,1,0.95,2.95,7,4.524,4.796
23,2,1,0.95,2.95,7,4.524,4.796
23,9,2,0.95,2.95,7,4.524,4.796
23,5,2,0.95,2.95,7,4.524,4.796
23,3,1,0.95,2.95,7,4.524,4.796
23,11,5,0.95,2.95,7,4.524,4.796
23,21,6,0.95,2.95,7,4.524,4.796
23,3,1,0.95,2.95,7,4.524,4.796
23,18,3,0.95,2.95,7,4.524,4.796
23,11,5,0.95,2.95,7,4.524,4.796
23,6,1,0.95,2.95,7,4.524,4.796
23,11,5,0.95,2.95,7,4.524,4.796
23,18,3,0.95,2.95,7,4.524,4.796
23,10,4,0.95,2.95,7,4.524,4.796
25,23,5,0.7,3.64,6,4.644,5.000
25,22,3,0.7,3.64,6,4.644,5.000
25,21,4,0.7,3.64,6,4.644,5.000
25,24,6,0.7,3.64,6,4.644,5.000
25,13,1,0.7,3.64,6,4.644,5.000
25,2,1,0.7,3.64,6,4.644,5.000
25,23,5,0.7,3.64,6,4.644,5.000
25,21,4,0.7,3.64,6,4.644,5.000
25,8,4,0.7,3.64,6,4.644,5.000
25,19,2,0.7,3.64,6,4.644,5.000
25,24,6,0.7,3.64,6,4.644,5.000
25,23,5,0.7,3.64,6,4.644,5.000
25,3,2,0.7,3.64,6,4.644,5.000
25,22,3,0.7,3.64,6,4.644,5.000
26,3,1,0.15,1.00,1,4.700,5.099
26,3,1,0.15,1.00,1,4.700,5.099
26,3,1,0.15,1.00,1,4.700,5.099
27,7,1,0.55,1.55,3,4.755,5.196
27,4,1,0.55,1.55,3,4.755,5.196
27,4,1,0.55,1.55,3,4.755,5.196
27,4,1,0.55,1.55,3,4.755,5.196
27,22,3,0.55,1.55,3,4.755,5.196
27,17,2,0.55,1.55,3,4.755,5.196
27,4,1,0.55,1.55,3,4.755,5.196
27,4,1,0.55,1.55,3,4.755,5.196
27,22,3,0.55,1.55,3,4.755,5.196
27,4,1,0.55,1.55,3,4.755,5.196
27,17,2,0.55,1.55,3,4.755,5.196
29,4,2,1,2.80,6,4.858,5.385
29,12,3,1,2.80,6,4.858,5.385
29,28,6,1,2.80,6,4.858,5.385
29,27,5,1,2.80,6,4.858,5.385
29,4,2,1,2.80,6,4.858,5.385
29,17,2,1,2.80,6,4.858,5.385
